country,continent,year,population,births,deaths
Tokelau,Oceania,2020,1845,35,13
Tonga,Oceania,1960,67447,3025,725
Tonga,Oceania,1990,98744,3060,683
Tonga,Oceania,2020,105265,2446,734
Trinidad and Tobago,North America,1960,847067,31717,6833
Trinidad and Tobago,North America,1990,1266525,26138,8501
Trinidad and Tobago,North America,2020,1518142,18119,11982
Tunisia,Africa,1960,4195466,197446,91090
Tunisia,Africa,1990,8440035,222942,46403
Tunisia,Africa,2020,12161720,202268,82136
Turkey,Asia,1960,27510982,1227470,488850
Turkey,Asia,1990,54324140,1405759,371685
Turkey,Asia,2020,84135430,1265256,536806
Turkmenistan,Asia,1960,1602052,76989,27261
Turkmenistan,Asia,1990,3720287,129629,30709
Turkmenistan,Asia,2020,6250442,139380,42735
Turks and Caicos Islands,North America,1960,5626,226,85
Turks and Caicos Islands,North America,1990,11723,340,72
Turks and Caicos Islands,North America,2020,44297,557,388
Tuvalu,Oceania,1960,5426,194,104
Tuvalu,Oceania,1990,9201,304,96
Tuvalu,Oceania,2020,11090,262,113
Uganda,Africa,1960,7617751,371000,147006
Uganda,Africa,1990,17586634,904309,318505
Uganda,Africa,2020,44404610,1653818,259787
Ukraine,Europe,1960,42767252,874364,321030
Ukraine,Europe,1990,51589816,657993,629736
Ukraine,Europe,2020,43909664,338972,698849
United Arab Emirates,Asia,1960,133440,5495,2043
United Arab Emirates,Asia,1990,1900160,48444,5054
United Arab Emirates,Asia,2020,9287286,98648,16406
United Kingdom,Europe,1960,52543024,922890,603662
United Kingdom,Europe,1990,57210444,794465,641688
United Kingdom,Europe,2020,67059470,678528,672991
United States,North America,1960,176188580,3992399,1671107
United States,North America,1990,248083730,4139325,2124914
United States,North America,2020,335942000,3670490,3238518
United States Virgin Islands,North America,1960,32883,1159,354
United States Virgin Islands,North America,1990,100699,2330,648
United States Virgin Islands,North America,2020,100452,1175,1375
Uruguay,South America,1960,2529028,55075,24591
Uruguay,South America,1990,3117011,54977,29293
Uruguay,South America,2020,3429087,35457,32343
Uzbekistan,Asia,1960,8372314,404477,125433
Uzbekistan,Asia,1990,20579106,700666,157484
Uzbekistan,Asia,2020,33526662,832060,226461
Vanuatu,Oceania,1960,64624,2887,1076
Vanuatu,Oceania,1990,150900,5689,1005
Vanuatu,Oceania,2020,311694,9336,1711
Venezuela,South America,1960,8156941,365913,81029
Venezuela,South America,1990,19750580,569527,93872
Venezuela,South America,2020,28490458,466065,217755
Vietnam,Asia,1960,32718462,1352488,375245
Vietnam,Asia,1990,66912616,1907686,456127
Vietnam,Asia,2020,96648680,1488374,596182
Wallis and Futuna,Oceania,1960,8799,357,159
Wallis and Futuna,Oceania,1990,13479,419,72
Wallis and Futuna,Oceania,2020,11679,140,80
Western Sahara,Africa,1960,33042,1839,870
Western Sahara,Africa,1990,178540,6508,1789
Western Sahara,Africa,2020,556060,9530,3422
Yemen,Asia,1960,5542460,302077,183430
Yemen,Asia,1990,13375127,677836,149896
Yemen,Asia,2020,32284044,1010361,210426
Zambia,Africa,1960,3119431,155895,53971
Zambia,Africa,1990,7686405,363130,127934
Zambia,Africa,2020,18927716,661531,124943
Zimbabwe,Africa,1960,3806312,180126,54201
Zimbabwe,Africa,1990,10113899,351900,88462
Zimbabwe,Africa,2020,15669663,486393,127551
